Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
C705,1,130pF,0603,50V,NP0,,CGA3E2C0G1H121J080AA,810-CGA3E2C0G1H121J,CGA3E2C0G1H121J080AA,810-CGA3E2C0G1H121J,"Stock: 10054 In Stock, Price: $0.14"
C706,1,240pF,0603,50V,NP0,,06035A251JAT2A,581-06035A251J,06035A251JAT2A,581-06035A251J,"Stock: 14246 In Stock, Price: $0.26"
C707,1,560pF,0603,50V,NP0,,CGA3E2C0G1H561J080AA,810-CGA3E2C0G1H561J,CGA3E2C0G1H561J080AA,810-CGA3E2C0G1H561J,"Stock: 18614 In Stock, Price: $0.14"
C708,1,1nF,0603,50V,NP0,,C1608C0G1H102J080AA,810-C1608C0G1H102J,C1608C0G1H102J080AA,810-C1608C0G1H102J,"Stock: 190791 In Stock, Price: $0.13"
C709,1,2.2nF,0603,50V,NP0,,CGA3E2C0G1H222J080AE,810-CGA3E2C0G1H222J8,CGA3E2C0G1H222J080AE,810-CGA3E2C0G1H222J8,"Stock: 102309 In Stock, Price: $0.21"
C710,1,3.9nF,0603,50V,NP0,,CGA3E2C0G1H392J080AA,810-CGA3E2C0G1H392J,CGA3E2C0G1H392J080AA,810-CGA3E2C0G1H392J,"Stock: 11787 In Stock, Price: $0.22"
C711,1,4.7nF,0603,50V,NP0,,CGA3E2C0G1H822J080AE,810-CGA3E2C0G1H822J8,CGA3E2C0G1H822J080AE,810-CGA3E2C0G1H822J8,"Stock: 13167 In Stock, Price: $0.32"
C712,1,3.3nF,0603,50V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25"
C1201,1,100nF,0402,,,Capacitor MLCC 100nF 50V 0402,,,0402X7R104KT2AT,581-0402X7R104KT2AT,"Stock: 27967 In Stock, Price: $0.38, WARNING: Footprint mismatch? (Expected 0402)"
C1202,1,100nF,0402,,,Capacitor MLCC 100nF 50V 0402,,,0402X7R104KT2AT,581-0402X7R104KT2AT,"Stock: 27967 In Stock, Price: $0.38, WARNING: Footprint mismatch? (Expected 0402)"
